Time,Event context,Component,Event name,Description
"22/02/21, 08:30",Course: Semantic Web,System,Course viewed,The user with id '8411' viewed the course with id '130'.
"22/02/21, 08:30",File: ?????? ????????? ??? 26.01.2021,File,Course module viewed,The user with id '8411' viewed the 'resource' activity with course module id '6519'.
"22/02/21, 08:30",Course: Semantic Web,System,Course viewed,The user with id '8411' viewed the course with id '130'.
"22/02/21, 08:30",Wiki: ????? ?a ???? ?? ?????? (40 ?.),Wiki,Wiki page viewed,The user with id '8411' viewed the page with id '285' for the wiki with course module id '5135'.
"22/02/21, 08:30",Course: Semantic Web,System,Course viewed,The user with id '8411' viewed the course with id '130'.
"22/02/21, 08:30",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,The status of the submission has been viewed.,The user with id '8411' has viewed the submission status page for the assignment with course module id '4717'.
"22/02/21, 08:30",Assignment: ??????? ?? ??????? ?????? ? ???????,Assignment,Course module viewed,The user with id '8411' viewed the 'assign' activity with course module id '4717'.
"22/02/21, 08:29",Course: Semantic Web,System,Course viewed,The user with id '8411' viewed the course with id '130'.
"22/02/21, 08:29",File: ???????? ?? ???????? ?? ?????????? ? ????????? ?? ????? ? ?????? ??????,File,Course module viewed,The user with id '8411' viewed the 'resource' activity with course module id '1026'.
"22/02/21, 08:29",Course: Semantic Web,System,Course viewed,The user with id '8411' viewed the course with id '130'.
"22/02/21, 08:29",Wiki: ?????? ?? ??????,Wiki,Course module viewed,The user with id '8411' viewed the 'wiki' activity with course module id '6512'.
"22/02/21, 08:29",Course: Semantic Web,System,Course viewed,The user with id '8411' viewed the course with id '130'.
"22/02/21, 08:29",Wiki: ??????? ??????/ ??????? (30 ?.),Wiki,Course module viewed,The user with id '8411' viewed the 'wiki' activity with course module id '5136'.
"22/02/21, 08:29",Course: Semantic Web,System,Course viewed,The user with id '8411' viewed the course with id '130'.
"22/02/21, 04:16",URL: Prot�g�,URL,Course module viewed,The user with id '8381' viewed the 'url' activity with course module id '4092'.
"22/02/21, 04:02",File: ?????????? 5,File,Course module viewed,The user with id '8381' viewed the 'resource' activity with course module id '4841'.
"22/02/21, 04:02",File: ?????????? 4,File,Course module viewed,The user with id '8381' viewed the 'resource' activity with course module id '4840'.
"22/02/21, 04:02",File: ?????????? 3,File,Course module viewed,The user with id '8381' viewed the 'resource' activity with course module id '4839'.
"22/02/21, 04:02",File: ?????????? 2,File,Course module viewed,The user with id '8381' viewed the 'resource' activity with course module id '4799'.
"22/02/21, 04:02",File: ?????????? 1,File,Course module viewed,The user with id '8381' viewed the 'resource' activity with course module id '4798'.
"22/02/21, 03:46",File: Protege OWL Tutorial,File,Course module viewed,The user with id '8381' viewed the 'resource' activity with course module id '4842'.
"22/02/21, 03:46",File: Software,File,Course module viewed,The user with id '8381' viewed the 'resource' activity with course module id '4800'.
"22/02/21, 03:17",Course: Semantic Web,System,Course viewed,The user with id '8381' viewed the course with id '130'.
"22/02/21, 03:01",URL: Demonstration,URL,Course module viewed,The user with id '8381' viewed the 'url' activity with course module id '1018'.
"22/02/21, 03:01",URL: Demonstration,URL,Course module viewed,The user with id '8381' viewed the 'url' activity with course module id '1018'.
"22/02/21, 03:01",Course: Semantic Web,System,Course viewed,The user with id '8381' viewed the course with id '130'.
"22/02/21, 02:37",URL: Demonstration,URL,Course module viewed,The user with id '8381' viewed the 'url' activity with course module id '1018'.
"22/02/21, 02:37",Course: Semantic Web,System,Course viewed,The user with id '8381' viewed the course with id '130'.
"22/02/21, 02:37",URL: Demonstration,URL,Course module viewed,The user with id '8381' viewed the 'url' activity with course module id '1018'.
"22/02/21, 02:28",File: ?????? 7: ??????????? ?? ????????? ? Prot�g�,File,Course module viewed,The user with id '8381' viewed the 'resource' activity with course module id '4727'.
